price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
360.62,364.4,354.31,363.02,14651.487495970003,6408,2015-12-04T23:56:17.0000000Z,2015-12-04T00:00:29.0000000Z,2015-12-04T00:00:00.000000Z,2015-12-05T00:00:00.0000000Z,5385736076.624483
363.04,395.0,362.08,389.79,46138.29540096001,21915,2015-12-05T23:59:59.0000000Z,2015-12-05T00:01:27.0000000Z,2015-12-05T00:00:00.000000Z,2015-12-06T00:00:00.0000000Z,5437898803.496182
390.01,407.57,386.01,390.6,60598.41466399,22851,2015-12-06T23:59:48.0000000Z,2015-12-06T00:00:02.0000000Z,2015-12-06T00:00:00.000000Z,2015-12-07T00:00:00.0000000Z,5840503800.993879
390.73,404.24,384.53,396.7,33608.021666119996,14956,2015-12-07T23:59:11.0000000Z,2015-12-07T00:00:05.0000000Z,2015-12-07T00:00:00.000000Z,2015-12-08T00:00:00.0000000Z,5838211622.858876
397.0,422.39,388.37,422.0,33197.6232291,11952,2015-12-08T23:59:59.0000000Z,2015-12-08T00:02:33.0000000Z,2015-12-08T00:00:00.000000Z,2015-12-09T00:00:00.0000000Z,6000380020.406199
422.05,426.59,405.0,418.73,52054.210708540006,21698,2015-12-09T23:59:04.0000000Z,2015-12-09T00:00:03.0000000Z,2015-12-09T00:00:00.000000Z,2015-12-10T00:00:00.0000000Z,6206963493.61893
418.85,421.82,411.09,414.94,38843.896597700004,19391,2015-12-10T23:59:49.0000000Z,2015-12-10T00:00:09.0000000Z,2015-12-10T00:00:00.000000Z,2015-12-11T00:00:00.0000000Z,6236244387.379609
414.88,458.99,414.8,457.0,75655.90458328,26836,2015-12-11T23:59:52.0000000Z,2015-12-11T00:00:26.0000000Z,2015-12-11T00:00:00.000000Z,2015-12-12T00:00:00.0000000Z,6275635296.295969
456.32,475.04,402.5,435.61,104600.55615904999,39545,2015-12-12T23:59:59.0000000Z,2015-12-12T00:00:02.0000000Z,2015-12-12T00:00:00.000000Z,2015-12-13T00:00:00.0000000Z,6771212014.274207
435.61,443.92,415.24,433.35,33645.6954141,14398,2015-12-13T23:59:52.0000000Z,2015-12-13T00:00:04.0000000Z,2015-12-13T00:00:00.000000Z,2015-12-14T00:00:00.0000000Z,6448329331.051272
433.0,450.0,427.3,442.59,27298.36713131,11763,2015-12-14T23:58:59.0000000Z,2015-12-14T00:00:01.0000000Z,2015-12-14T00:00:00.000000Z,2015-12-15T00:00:00.0000000Z,6456873891.289475
442.55,467.29,442.51,466.03,41304.51458157,16881,2015-12-15T23:59:59.0000000Z,2015-12-15T00:00:25.0000000Z,2015-12-15T00:00:00.000000Z,2015-12-16T00:00:00.0000000Z,6650982739.228058
466.43,469.99,440.0,454.94,67033.70540225999,25352,2015-12-16T23:59:58.0000000Z,2015-12-16T00:00:08.0000000Z,2015-12-16T00:00:00.000000Z,2015-12-17T00:00:00.0000000Z,6962243020.510759
454.93,458.56,446.21,455.57,17822.136125799996,8611,2015-12-17T23:59:48.0000000Z,2015-12-17T00:00:12.0000000Z,2015-12-17T00:00:00.000000Z,2015-12-18T00:00:00.0000000Z,6800237276.817401
455.8,466.6,450.1,463.52,27050.451544760002,10645,2015-12-18T23:58:11.0000000Z,2015-12-18T00:00:33.0000000Z,2015-12-18T00:00:00.000000Z,2015-12-19T00:00:00.0000000Z,6824167687.189336
463.14,467.0,452.0,462.44,21223.579722079998,8622,2015-12-19T23:59:57.0000000Z,2015-12-19T00:00:03.0000000Z,2015-12-19T00:00:00.000000Z,2015-12-20T00:00:00.0000000Z,6944752003.388822
462.45,462.78,431.5,442.62,46323.015526250005,14301,2015-12-20T23:59:54.0000000Z,2015-12-20T00:00:10.0000000Z,2015-12-20T00:00:00.000000Z,2015-12-21T00:00:00.0000000Z,6924091282.702086
442.62,447.45,424.37,437.52,43157.87847613,12163,2015-12-21T23:59:45.0000000Z,2015-12-21T00:00:12.0000000Z,2015-12-21T00:00:00.000000Z,2015-12-22T00:00:00.0000000Z,6619335084.798833
